group_id	function_id	size	mean_ns	GiB/s
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	128	6.999	17.03
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	128	6.999	17.03
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	255	71.312	3.33
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	255	71.312	3.33
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	256	8.716	27.35
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	256	8.716	27.35
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	512	12.470	38.24
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	512	12.470	38.24
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	1024	20.962	45.50
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	1024	20.962	45.50
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	1792	31.550	52.90
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	1792	31.550	52.90
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	2048	40.801	46.75
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	2048	40.801	46.75
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	4096	69.640	54.78
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3	4096	69.640	54.78
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3-2way	16384	256.888	59.40
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3-2way	16384	256.888	59.40
crc64/nvme(force=auto,eff=auto,streams=3)	oneshot/aarch64/pmull-eor3-3way	65536	991.331	61.57
